DBN,School Name,Year,Total Enrollment,Grade 3K+PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
27Q317,Waterside Children's Studio School,2019-20,509,36,72,84,75,79,76,87,0,0,0,0,0,0,0,261,0.513,248,0.487,24,0.047,112,0.22,238,0.468,24,0.047,111,0.218,98,0.193,51,0.1,341,67.00%,61.00%
27Q318,Waterside School For Leadership,2019-20,223,0,0,0,0,0,0,0,70,78,75,0,0,0,0,109,0.489,114,0.511,10,0.045,116,0.52,73,0.327,9,0.04,15,0.067,59,0.265,16,0.072,196,87.90%,78.30%
27Q319,Village Academy,2019-20,371,0,0,0,0,0,0,0,107,150,114,0,0,0,0,181,0.488,190,0.512,8,0.022,194,0.523,162,0.437,4,0.011,3,0.008,100,0.27,54,0.146,308,83.00%,86.30%
27Q323,Scholars' Academy,2019-20,"1,311",0,0,0,0,0,0,0,198,198,231,162,163,179,180,734,0.56,577,0.44,263,0.201,218,0.166,258,0.197,31,0.024,541,0.413,180,0.137,1,0.001,566,43.20%,34.50%
27Q324,Rockaway Park High School for Environmental Sustai,2019-20,288,0,0,0,0,0,0,0,0,0,0,103,78,62,45,120,0.417,168,0.583,6,0.021,131,0.455,110,0.382,11,0.038,30,0.104,92,0.319,38,0.132,254,88.20%,86.50%
27Q333,Goldie Maple Academy,2019-20,414,47,33,40,50,42,33,61,45,31,32,0,0,0,0,209,0.505,205,0.495,13,0.031,287,0.693,86,0.208,17,0.041,11,0.027,50,0.121,3,0.007,293,70.80%,76.90%
27Q334,Epic High School - North,2019-20,444,0,0,0,0,0,0,0,0,0,0,166,133,80,65,201,0.453,243,0.547,124,0.279,66,0.149,194,0.437,39,0.088,21,0.047,65,0.146,37,0.083,315,70.90%,72.00%
27Q336,Curious Young Learners Pre-K Center,2019-20,767,767,0,0,0,0,0,0,0,0,0,0,0,0,0,374,0.488,393,0.512,210,0.274,97,0.126,339,0.442,63,0.082,58,0.076,58,0.076,0,0,338,44.10%,50.70%
27Q351,Rockaway Collegiate High School,2019-20,327,0,0,0,0,0,0,0,0,0,0,110,86,53,78,153,0.468,174,0.532,6,0.018,178,0.544,117,0.358,4,0.012,22,0.067,92,0.281,40,0.122,294,89.90%,84.80%
27Q362,Wave Preparatory Elementary School,2019-20,516,49,70,89,88,72,75,73,0,0,0,0,0,0,0,240,0.465,276,0.535,7,0.014,184,0.357,319,0.618,3,0.006,3,0.006,98,0.19,113,0.219,454,88.00%,84.60%
