DBN,School Name,Year,Total Enrollment,Grade 3K+PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
02M116,P.S. 116 Mary Lindley Murray,2019-20,500,54,82,61,87,72,60,84,0,0,0,0,0,0,0,263,0.526,237,0.474,110,0.22,42,0.084,95,0.19,32,0.064,221,0.442,85,0.17,40,0.08,159,31.80%,35.90%
02M124,P.S. 124 Yung Wing,2019-20,676,65,98,89,105,113,105,101,0,0,0,0,0,0,0,335,0.496,341,0.504,625,0.925,1,0.001,10,0.015,22,0.033,18,0.027,112,0.166,143,0.212,333,49.30%,60.30%
02M126,P.S. 126 Jacob August Riis,2019-20,714,27,52,56,60,57,54,66,118,113,111,0,0,0,0,351,0.492,363,0.508,470,0.658,60,0.084,125,0.175,21,0.029,38,0.053,146,0.204,89,0.125,533,74.60%,78.00%
02M130,P.S. 130 Hernando De Soto,2019-20,796,36,110,123,134,121,121,151,0,0,0,0,0,0,0,378,0.475,418,0.525,696,0.874,3,0.004,42,0.053,34,0.043,21,0.026,138,0.173,127,0.16,366,46.00%,56.40%
02M131,M.S. 131,2019-20,304,0,0,0,0,0,0,0,59,105,140,0,0,0,0,124,0.408,180,0.592,223,0.734,26,0.086,46,0.151,2,0.007,7,0.023,72,0.237,70,0.23,269,88.50%,85.10%
02M135,The Urban Assembly School for Emergency Management,2019-20,256,0,0,0,0,0,0,0,0,0,0,76,72,53,55,133,0.52,123,0.48,12,0.047,75,0.293,158,0.617,4,0.016,7,0.027,55,0.215,11,0.043,204,79.70%,80.20%
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,2019-20,416,0,0,0,0,0,0,0,0,0,0,115,108,108,85,155,0.373,261,0.627,16,0.038,104,0.25,259,0.623,15,0.036,22,0.053,107,0.257,24,0.058,337,81.00%,82.60%
02M150,P.S. 150,2019-20,190,18,28,26,31,30,30,27,0,0,0,0,0,0,0,86,0.453,104,0.547,56,0.295,1,0.005,17,0.089,21,0.111,95,0.5,28,0.147,5,0.026,37,19.50%,10.50%
02M151,Yorkville Community School,2019-20,475,66,84,63,56,76,68,62,0,0,0,0,0,0,0,241,0.507,234,0.493,34,0.072,63,0.133,120,0.253,28,0.059,230,0.484,92,0.194,19,0.04,174,36.60%,39.10%
02M158,P.S. 158 Bayard Taylor,2019-20,804,69,153,118,128,106,108,122,0,0,0,0,0,0,0,390,0.485,414,0.515,103,0.128,16,0.02,66,0.082,57,0.071,562,0.699,120,0.149,35,0.044,79,9.80%,10.60%
02M167,J.H.S. 167 Robert F. Wagner,2019-20,"1,346",0,0,0,0,0,0,0,427,471,448,0,0,0,0,618,0.459,728,0.541,249,0.185,98,0.073,215,0.16,65,0.048,719,0.534,237,0.176,46,0.034,394,29.30%,28.00%
02M177,Yorkville East Middle School,2019-20,227,0,0,0,0,0,0,0,76,76,75,0,0,0,0,113,0.498,114,0.502,17,0.075,14,0.062,58,0.256,13,0.057,125,0.551,62,0.273,4,0.018,55,24.20%,27.40%
02M183,P.S. 183 Robert L. Stevenson,2019-20,604,40,124,108,90,84,79,79,0,0,0,0,0,0,0,299,0.495,305,0.505,96,0.159,15,0.025,56,0.093,33,0.055,404,0.669,93,0.154,48,0.079,61,10.10%,5.90%
02M198,P.S. 198 Isador E. Ida Straus,2019-20,491,52,98,74,68,65,81,53,0,0,0,0,0,0,0,243,0.495,248,0.505,93,0.189,40,0.081,109,0.222,24,0.049,225,0.458,100,0.204,29,0.059,170,34.60%,34.60%
02M212,P.S. 212 Midtown West,2019-20,370,36,56,56,56,54,53,59,0,0,0,0,0,0,0,192,0.519,178,0.481,56,0.151,28,0.076,86,0.232,35,0.095,165,0.446,42,0.114,12,0.032,76,20.50%,28.50%
02M217,P.S./I.S. 217 Roosevelt Island,2019-20,640,40,98,96,89,77,69,80,34,27,30,0,0,0,0,337,0.527,303,0.473,203,0.317,73,0.114,95,0.148,42,0.066,227,0.355,72,0.112,97,0.152,172,26.90%,25.90%
02M225,Ella Baker School,2019-20,332,35,45,42,40,28,39,36,26,30,11,0,0,0,0,152,0.458,180,0.542,26,0.078,53,0.16,98,0.295,33,0.099,122,0.367,66,0.199,4,0.012,103,31.00%,36.20%
02M234,P.S. 234 Independence School,2019-20,638,0,116,114,117,95,103,93,0,0,0,0,0,0,0,326,0.511,312,0.489,51,0.08,13,0.02,53,0.083,63,0.099,458,0.718,94,0.147,7,0.011,55,8.60%,9.70%
02M255,M.S. 255 Salk School of Science,2019-20,383,0,0,0,0,0,0,0,126,129,128,0,0,0,0,239,0.624,144,0.376,71,0.185,4,0.01,38,0.099,32,0.084,238,0.621,58,0.151,1,0.003,45,11.70%,14.10%
02M260,The Clinton School,2019-20,776,0,0,0,0,0,0,0,98,95,97,130,125,128,103,519,0.669,257,0.331,100,0.129,23,0.03,93,0.12,58,0.075,502,0.647,128,0.165,0,0,126,16.20%,21.40%
02M267,"East Side Elementary School, PS 267",2019-20,438,0,86,83,86,71,63,49,0,0,0,0,0,0,0,213,0.486,225,0.514,50,0.114,5,0.011,48,0.11,21,0.048,314,0.717,64,0.146,16,0.037,50,11.40%,10.50%
02M276,Battery Park City School,2019-20,854,18,100,89,83,95,88,96,98,92,95,0,0,0,0,421,0.493,433,0.507,182,0.213,27,0.032,112,0.131,84,0.098,449,0.526,138,0.162,30,0.035,134,15.70%,14.50%
02M280,Manhattan Early College School for Advertising,2019-20,445,0,0,0,0,0,0,0,0,0,0,114,119,99,113,233,0.524,212,0.476,47,0.106,154,0.346,203,0.456,17,0.038,24,0.054,75,0.169,21,0.047,330,74.20%,77.30%
02M281,The River School,2019-20,422,72,96,62,68,48,44,32,0,0,0,0,0,0,0,204,0.483,218,0.517,125,0.296,33,0.078,58,0.137,19,0.045,187,0.443,64,0.152,61,0.145,96,22.70%,19.00%
02M282,Urban Assembly Maker Academy,2019-20,435,0,0,0,0,0,0,0,0,0,0,139,111,102,83,142,0.326,293,0.674,43,0.099,127,0.292,204,0.469,17,0.039,44,0.101,92,0.211,22,0.051,324,74.50%,72.10%
02M288,Food and Finance High School,2019-20,379,0,0,0,0,0,0,0,0,0,0,124,106,72,77,225,0.594,154,0.406,21,0.055,119,0.314,217,0.573,6,0.016,16,0.042,82,0.216,14,0.037,323,85.20%,78.00%
02M289,I.S. 289,2019-20,276,0,0,0,0,0,0,0,90,93,93,0,0,0,0,131,0.475,145,0.525,138,0.5,11,0.04,51,0.185,9,0.033,67,0.243,59,0.214,9,0.033,132,47.80%,50.20%
02M290,P.S. 290 Manhattan New School,2019-20,573,54,83,92,94,77,91,82,0,0,0,0,0,0,0,314,0.548,259,0.452,59,0.103,20,0.035,63,0.11,27,0.047,404,0.705,94,0.164,19,0.033,71,12.40%,9.70%
02M294,Essex Street Academy,2019-20,338,0,0,0,0,0,0,0,0,0,0,87,86,97,68,195,0.577,143,0.423,24,0.071,104,0.308,146,0.432,17,0.05,47,0.139,86,0.254,11,0.033,223,66.00%,67.10%
02M296,High School of Hospitality Management,2019-20,337,0,0,0,0,0,0,0,0,0,0,100,103,66,68,213,0.632,124,0.368,14,0.042,82,0.243,231,0.685,4,0.012,6,0.018,87,0.258,30,0.089,302,89.60%,87.10%
02M297,M.S. 297,2019-20,841,0,0,0,0,0,0,0,302,320,219,0,0,0,0,444,0.528,397,0.472,70,0.083,77,0.092,213,0.253,41,0.049,440,0.523,184,0.219,25,0.03,261,31.00%,35.20%
02M298,Pace High School,2019-20,549,0,0,0,0,0,0,0,0,0,0,141,165,124,119,304,0.554,245,0.446,28,0.051,179,0.326,288,0.525,27,0.049,27,0.049,108,0.197,17,0.031,434,79.10%,77.30%
02M300,"Urban Assembly School of Design and Construction,",2019-20,263,0,0,0,0,0,0,0,0,0,0,65,69,66,63,90,0.342,173,0.658,17,0.065,55,0.209,182,0.692,5,0.019,4,0.015,76,0.289,20,0.076,213,81.00%,85.60%
02M303,"Facing History School, The",2019-20,350,0,0,0,0,0,0,0,0,0,0,109,84,62,95,167,0.477,183,0.523,1,0.003,91,0.26,240,0.686,9,0.026,9,0.026,88,0.251,35,0.1,288,82.30%,86.70%
02M305,"Urban Assembly Academy of Government and Law, The",2019-20,322,0,0,0,0,0,0,0,0,0,0,109,95,59,59,180,0.559,142,0.441,22,0.068,112,0.348,179,0.556,3,0.009,6,0.019,70,0.217,11,0.034,279,86.60%,86.80%
02M308,Lower Manhattan Arts Academy,2019-20,314,0,0,0,0,0,0,0,0,0,0,108,76,65,65,205,0.653,109,0.347,26,0.083,89,0.283,188,0.599,4,0.013,7,0.022,109,0.347,18,0.057,247,78.70%,84.90%
02M312,New York City Lab Middle School for Collaborative,2019-20,603,0,0,0,0,0,0,0,241,181,181,0,0,0,0,301,0.499,302,0.501,362,0.6,10,0.017,39,0.065,44,0.073,148,0.245,77,0.128,5,0.008,205,34.00%,35.10%
02M313,"James Baldwin School, The: A School for Expedition",2019-20,234,0,0,0,0,0,0,0,0,0,0,35,54,47,98,122,0.521,112,0.479,7,0.03,106,0.453,110,0.47,1,0.004,10,0.043,83,0.355,17,0.073,185,79.10%,84.90%
02M316,"Urban Assembly School of Business for Young Women,",2019-20,178,0,0,0,0,0,0,0,0,0,0,53,46,32,47,178,1,0,0,12,0.067,78,0.438,75,0.421,6,0.034,7,0.039,25,0.14,16,0.09,154,86.50%,87.00%
02M340,Sixth Avenue Elementary School,2019-20,400,72,69,68,55,59,42,35,0,0,0,0,0,0,0,191,0.477,209,0.522,33,0.083,14,0.035,46,0.115,56,0.14,251,0.627,60,0.15,0,0,45,11.20%,14.80%
02M343,The Peck Slip School,2019-20,458,35,87,74,75,67,62,58,0,0,0,0,0,0,0,247,0.539,211,0.461,79,0.172,29,0.063,62,0.135,61,0.133,227,0.496,84,0.183,8,0.017,69,15.10%,16.20%
02M347,The 47 American Sign Language & English Lower Scho,2019-20,181,59,20,12,18,10,16,9,12,14,11,0,0,0,0,90,0.497,91,0.503,8,0.044,39,0.215,81,0.448,6,0.033,47,0.26,94,0.519,28,0.155,116,64.10%,67.70%
02M374,Gramercy Arts High School,2019-20,449,0,0,0,0,0,0,0,0,0,0,143,117,80,109,306,0.682,143,0.318,25,0.056,149,0.332,232,0.517,16,0.036,27,0.06,82,0.183,8,0.018,371,82.60%,80.20%
02M376,NYC iSchool,2019-20,465,0,0,0,0,0,0,0,0,0,0,120,127,119,99,267,0.574,198,0.426,40,0.086,57,0.123,119,0.256,31,0.067,218,0.469,92,0.198,5,0.011,185,39.80%,38.60%
02M391,District 2 Pre-K Center,2019-20,556,556,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0.455,303,0.545,95,0.171,36,0.065,65,0.117,58,0.104,302,0.543,78,0.14,0,0,74,13.30%,16.80%
02M392,Manhattan Business Academy,2019-20,406,0,0,0,0,0,0,0,0,0,0,102,98,111,95,180,0.443,226,0.557,17,0.042,88,0.217,275,0.677,8,0.02,18,0.044,82,0.202,25,0.062,354,87.20%,85.10%
02M393,Business Of Sports School,2019-20,428,0,0,0,0,0,0,0,0,0,0,128,121,92,87,138,0.322,290,0.678,3,0.007,150,0.35,261,0.61,5,0.012,9,0.021,110,0.257,29,0.068,321,75.00%,81.40%
02M394,Emma Lazarus High School,2019-20,307,0,0,0,0,0,0,0,0,0,0,166,66,37,38,131,0.427,176,0.573,116,0.378,67,0.218,90,0.293,4,0.013,30,0.098,0,0,261,0.85,284,92.50%,Above 95%
02M397,Spruce Street School,2019-20,561,18,66,60,62,57,61,58,57,62,60,0,0,0,0,259,0.462,302,0.538,91,0.162,19,0.034,87,0.155,57,0.102,307,0.547,122,0.217,15,0.027,101,18.00%,17.20%
02M399,The High School For Language And Diplomacy,2019-20,274,0,0,0,0,0,0,0,0,0,0,76,80,44,74,142,0.518,132,0.482,51,0.186,57,0.208,145,0.529,7,0.026,14,0.051,51,0.186,29,0.106,223,81.40%,86.10%
02M400,High School for Environmental Studies,2019-20,"1,133",0,0,0,0,0,0,0,0,0,0,282,302,298,251,585,0.516,548,0.484,133,0.117,163,0.144,724,0.639,29,0.026,84,0.074,205,0.181,81,0.071,896,79.10%,78.00%
02M407,Institute for Collaborative Education,2019-20,489,0,0,0,0,0,0,0,67,68,76,68,71,71,68,242,0.495,247,0.505,29,0.059,113,0.231,103,0.211,29,0.059,215,0.44,95,0.194,0,0,157,32.10%,36.00%
02M408,Professional Performing Arts High School,2019-20,577,0,0,0,0,0,0,0,34,30,53,126,120,101,113,421,0.73,156,0.27,36,0.062,115,0.199,125,0.217,43,0.075,258,0.447,93,0.161,2,0.003,174,30.20%,36.50%
02M411,Baruch College Campus High School,2019-20,487,0,0,0,0,0,0,0,0,0,0,120,122,130,115,295,0.606,192,0.394,163,0.335,17,0.035,73,0.15,24,0.049,210,0.431,74,0.152,4,0.008,183,37.60%,37.70%
02M412,N.Y.C. Lab School for Collaborative Studies,2019-20,514,0,0,0,0,0,0,0,0,0,0,160,118,108,128,245,0.477,269,0.523,100,0.195,12,0.023,60,0.117,43,0.084,299,0.582,98,0.191,2,0.004,128,24.90%,26.80%
02M413,School of the Future High School,2019-20,717,0,0,0,0,0,0,0,93,96,94,112,111,103,108,344,0.48,373,0.52,140,0.195,82,0.114,161,0.225,65,0.091,269,0.375,156,0.218,8,0.011,301,42.00%,43.20%
02M414,N.Y.C. Museum School,2019-20,454,0,0,0,0,0,0,0,0,0,0,112,120,108,114,234,0.515,220,0.485,103,0.227,56,0.123,148,0.326,21,0.046,126,0.278,104,0.229,1,0.002,233,51.30%,49.40%
02M416,Eleanor Roosevelt High School,2019-20,541,0,0,0,0,0,0,0,0,0,0,137,135,135,134,319,0.59,222,0.41,82,0.152,15,0.028,49,0.091,38,0.07,357,0.66,85,0.157,0,0,97,17.90%,18.20%
02M418,Millennium High School,2019-20,674,0,0,0,0,0,0,0,0,0,0,151,204,158,161,389,0.577,285,0.423,334,0.496,20,0.03,77,0.114,41,0.061,202,0.3,91,0.135,1,0.001,340,50.40%,50.10%
02M419,Landmark High School,2019-20,335,0,0,0,0,0,0,0,0,0,0,118,71,73,73,182,0.543,153,0.457,9,0.027,101,0.301,208,0.621,7,0.021,10,0.03,71,0.212,20,0.06,287,85.70%,86.30%
02M420,High School for Health Professions and Human Servi,2019-20,"1,822",0,0,0,0,0,0,0,0,0,0,461,504,450,407,"1,312",0.72,510,0.28,418,0.229,268,0.147,947,0.52,35,0.019,154,0.085,248,0.136,79,0.043,1399,76.80%,76.20%
02M422,Quest to Learn,2019-20,581,0,0,0,0,0,0,0,89,49,60,128,112,68,75,248,0.427,333,0.573,66,0.114,149,0.256,258,0.444,21,0.036,87,0.15,163,0.281,19,0.033,411,70.70%,71.70%
02M425,Leadership and Public Service High School,2019-20,361,0,0,0,0,0,0,0,0,0,0,79,89,93,100,203,0.562,158,0.438,28,0.078,92,0.255,217,0.601,9,0.025,15,0.042,79,0.219,14,0.039,304,84.20%,84.40%
02M427,Manhattan Academy For Arts & Language,2019-20,210,0,0,0,0,0,0,0,0,0,0,70,50,46,44,104,0.495,106,0.505,2,0.01,3,0.014,200,0.952,0,0,5,0.024,21,0.1,137,0.652,Above 95%,Above 95%,Above 95%
02M432,Murray Hill Academy,2019-20,263,0,0,0,0,0,0,0,0,0,0,71,55,71,66,130,0.494,133,0.506,16,0.061,80,0.304,143,0.544,9,0.034,15,0.057,69,0.262,5,0.019,229,87.10%,84.60%
02M437,Hudson High School of Learning Technologies,2019-20,458,0,0,0,0,0,0,0,0,0,0,103,126,112,117,144,0.314,314,0.686,27,0.059,128,0.279,275,0.6,12,0.026,16,0.035,124,0.271,41,0.09,375,81.90%,84.50%
02M438,International High School at Union Square,2019-20,351,0,0,0,0,0,0,0,0,0,0,75,106,85,85,130,0.37,221,0.63,54,0.154,72,0.205,184,0.524,3,0.009,38,0.108,14,0.04,273,0.778,304,86.60%,Above 95%
02M439,Manhattan Village Academy,2019-20,460,0,0,0,0,0,0,0,0,0,0,113,121,120,106,279,0.607,181,0.393,46,0.1,71,0.154,308,0.67,2,0.004,33,0.072,68,0.148,8,0.017,341,74.10%,65.90%
02M442,"Ballet Tech, NYC Public School for Dance",2019-20,141,0,0,0,0,0,34,39,23,26,19,0,0,0,0,81,0.574,60,0.426,38,0.27,25,0.177,29,0.206,18,0.128,31,0.22,9,0.064,5,0.035,67,47.50%,47.10%
02M449,Vanguard High School,2019-20,424,0,0,0,0,0,0,0,0,0,0,117,113,96,98,207,0.488,217,0.512,22,0.052,111,0.262,254,0.599,15,0.035,22,0.052,104,0.245,10,0.024,320,75.50%,77.10%
02M459,Manhattan International High School,2019-20,301,0,0,0,0,0,0,0,0,0,0,83,97,51,70,145,0.482,156,0.518,44,0.146,48,0.159,148,0.492,2,0.007,59,0.196,6,0.02,215,0.714,209,69.40%,Above 95%
02M475,Stuyvesant High School,2019-20,"3,381",0,0,0,0,0,0,0,0,0,0,909,820,811,841,"1,458",0.431,"1,923",0.569,"2,438",0.721,28,0.008,116,0.034,172,0.051,627,0.185,16,0.005,0,0,1519,44.90%,40.50%
02M489,High School of Economics and Finance,2019-20,738,0,0,0,0,0,0,0,0,0,0,210,192,177,159,337,0.457,401,0.543,167,0.226,163,0.221,340,0.461,11,0.015,57,0.077,132,0.179,33,0.045,564,76.40%,77.80%
02M500,Unity Center for Urban Technologies,2019-20,267,0,0,0,0,0,0,0,0,0,0,68,99,54,46,82,0.307,185,0.693,29,0.109,67,0.251,156,0.584,5,0.019,10,0.037,54,0.202,16,0.06,244,91.40%,86.90%
02M507,Urban Assembly Gateway School for Technology,2019-20,453,0,0,0,0,0,0,0,0,0,0,114,120,108,111,96,0.212,357,0.788,25,0.055,112,0.247,273,0.603,9,0.02,34,0.075,104,0.23,17,0.038,273,60.30%,69.00%
02M519,Talent Unlimited High School,2019-20,532,0,0,0,0,0,0,0,0,0,0,139,149,116,128,399,0.75,133,0.25,19,0.036,144,0.271,252,0.474,37,0.07,80,0.15,79,0.148,4,0.008,303,57.00%,54.50%
02M520,Murry Bergtraum High School for Business Careers,2019-20,114,0,0,0,0,0,0,0,0,0,0,41,22,25,26,70,0.614,44,0.386,2,0.018,62,0.544,44,0.386,4,0.035,2,0.018,11,0.096,3,0.026,94,82.50%,79.90%
02M527,P.S. 527 - East Side School for Social Action,2019-20,480,0,99,81,89,78,73,60,0,0,0,0,0,0,0,240,0.5,240,0.5,60,0.125,30,0.063,72,0.15,57,0.119,261,0.544,91,0.19,16,0.033,97,20.20%,21.10%
02M529,Jacqueline Kennedy Onassis High School,2019-20,302,0,0,0,0,0,0,0,0,0,0,44,49,78,131,158,0.523,144,0.477,17,0.056,79,0.262,193,0.639,3,0.01,10,0.033,68,0.225,19,0.063,238,78.80%,80.60%
02M531,Repertory Company High School for Theatre Arts,2019-20,237,0,0,0,0,0,0,0,0,0,0,61,67,58,51,188,0.793,49,0.207,3,0.013,74,0.312,95,0.401,14,0.059,51,0.215,42,0.177,0,0,161,67.90%,49.80%
02M533,Union Square Academy for Health Sciences,2019-20,404,0,0,0,0,0,0,0,0,0,0,139,111,88,66,277,0.686,127,0.314,44,0.109,69,0.171,266,0.658,3,0.007,22,0.054,70,0.173,25,0.062,352,87.10%,85.20%
02M534,Harvest Collegiate High School,2019-20,440,0,0,0,0,0,0,0,0,0,0,116,104,109,111,252,0.573,188,0.427,25,0.057,87,0.198,221,0.502,24,0.055,83,0.189,104,0.236,14,0.032,292,66.40%,67.40%
02M542,Manhattan Bridges High School,2019-20,520,0,0,0,0,0,0,0,0,0,0,150,182,106,82,263,0.506,257,0.494,1,0.002,1,0.002,515,0.99,2,0.004,1,0.002,28,0.054,189,0.363,443,85.20%,92.70%
02M543,New Design High School,2019-20,454,0,0,0,0,0,0,0,0,0,0,129,131,103,91,285,0.628,169,0.372,26,0.057,164,0.361,246,0.542,5,0.011,13,0.029,130,0.286,18,0.04,353,77.80%,84.80%
02M544,Independence High School,2019-20,342,0,0,0,0,0,0,0,0,0,0,51,75,100,116,172,0.503,170,0.497,10,0.029,111,0.325,208,0.608,1,0.003,12,0.035,97,0.284,31,0.091,299,87.40%,90.40%
02M545,High School for Dual Language and Asian Studies,2019-20,396,0,0,0,0,0,0,0,0,0,0,91,106,99,100,232,0.586,164,0.414,367,0.927,7,0.018,11,0.028,2,0.005,9,0.023,12,0.03,58,0.146,339,85.60%,82.20%
02M546,Academy for Software Engineering,2019-20,453,0,0,0,0,0,0,0,0,0,0,117,122,106,108,75,0.166,378,0.834,54,0.119,98,0.216,241,0.532,11,0.024,49,0.108,116,0.256,22,0.049,311,68.70%,70.90%
02M550,Liberty High School Academy for Newcomers,2019-20,428,0,0,0,0,0,0,0,0,0,0,132,135,72,89,173,0.404,255,0.596,32,0.075,114,0.266,247,0.577,2,0.005,33,0.077,12,0.028,374,0.874,335,78.30%,Above 95%
02M551,Urban Assembly New York Harbor School,2019-20,523,0,0,0,0,0,0,0,0,0,0,133,136,132,122,177,0.338,346,0.662,41,0.078,88,0.168,217,0.415,46,0.088,131,0.25,128,0.245,5,0.01,301,57.60%,55.00%
02M560,High School M560 - City As School,2019-20,607,0,0,0,0,0,0,0,0,0,0,0,39,202,366,318,0.524,289,0.476,26,0.043,221,0.364,248,0.409,13,0.021,99,0.163,168,0.277,26,0.043,414,68.20%,73.30%
02M565,Urban Academy Laboratory High School,2019-20,137,0,0,0,0,0,0,0,0,0,0,14,32,81,10,77,0.562,60,0.438,6,0.044,36,0.263,57,0.416,5,0.036,33,0.241,28,0.204,1,0.007,85,62.00%,62.50%
02M570,Satellite Academy High School,2019-20,254,0,0,0,0,0,0,0,0,0,0,180,32,7,35,139,0.547,115,0.453,2,0.008,79,0.311,162,0.638,8,0.031,3,0.012,74,0.291,24,0.094,205,80.70%,84.80%
02M575,Manhattan Comprehensive Night and Day High School,2019-20,704,0,0,0,0,0,0,0,0,0,0,0,294,263,147,295,0.419,409,0.581,115,0.163,234,0.332,312,0.443,8,0.011,35,0.05,83,0.118,365,0.518,621,88.20%,92.70%
02M580,Richard R. Green High School of Teaching,2019-20,352,0,0,0,0,0,0,0,0,0,0,81,75,82,114,232,0.659,120,0.341,15,0.043,104,0.295,215,0.611,7,0.02,11,0.031,72,0.205,15,0.043,280,79.50%,76.80%
02M586,Harvey Milk High School,2019-20,61,0,0,0,0,0,0,0,0,0,0,7,13,23,18,36,0.59,25,0.41,0,0,22,0.361,35,0.574,2,0.033,2,0.033,22,0.361,2,0.033,47,77.00%,80.90%
02M600,The High School of Fashion Industries,2019-20,"1,589",0,0,0,0,0,0,0,0,0,0,513,447,312,317,"1,424",0.896,165,0.104,86,0.054,483,0.304,911,0.573,24,0.015,85,0.053,278,0.175,51,0.032,1321,83.10%,77.50%
02M605,Humanities Preparatory Academy,2019-20,261,0,0,0,0,0,0,0,0,0,0,59,75,67,60,142,0.544,119,0.456,19,0.073,60,0.23,157,0.602,8,0.031,17,0.065,49,0.188,11,0.042,212,81.20%,79.70%
02M615,Chelsea Career and Technical Education High School,2019-20,449,0,0,0,0,0,0,0,0,0,0,139,118,109,83,122,0.272,327,0.728,58,0.129,101,0.225,267,0.595,8,0.018,15,0.033,104,0.232,22,0.049,380,84.60%,82.10%
02M630,Art and Design High School,2019-20,"1,465",0,0,0,0,0,0,0,0,0,0,378,417,326,344,980,0.669,485,0.331,135,0.092,202,0.138,755,0.515,94,0.064,279,0.19,323,0.22,11,0.008,813,55.50%,56.70%
02M655,Life Sciences Secondary School,2019-20,394,0,0,0,0,0,0,0,0,0,0,88,110,88,108,201,0.51,193,0.49,31,0.079,105,0.266,238,0.604,7,0.018,13,0.033,83,0.211,39,0.099,323,82.00%,87.50%
02M896,Lower Manhattan Community Middle School,2019-20,378,0,0,0,0,0,0,0,127,129,122,0,0,0,0,195,0.516,183,0.484,165,0.437,30,0.079,57,0.151,17,0.045,109,0.288,113,0.299,17,0.045,182,48.10%,51.30%
02M933,City Knoll Middle School,2019-20,154,0,0,0,0,0,0,0,57,36,61,0,0,0,0,66,0.429,88,0.571,9,0.058,39,0.253,91,0.591,2,0.013,13,0.084,47,0.305,22,0.143,120,77.90%,81.60%
03M009,P.S. 009 Sarah Anderson,2019-20,624,18,98,106,107,91,115,89,0,0,0,0,0,0,0,312,0.5,312,0.5,48,0.077,25,0.04,113,0.181,47,0.075,391,0.627,118,0.189,19,0.03,110,17.60%,17.20%
03M054,J.H.S. 054 Booker T. Washington,2019-20,825,0,0,0,0,0,0,0,295,285,245,0,0,0,0,426,0.516,399,0.484,90,0.109,75,0.091,134,0.162,82,0.099,444,0.538,131,0.159,14,0.017,180,21.80%,26.40%
03M075,P.S. 075 Emily Dickinson,2019-20,520,0,82,77,73,89,94,105,0,0,0,0,0,0,0,242,0.465,278,0.535,12,0.023,96,0.185,294,0.565,17,0.033,101,0.194,221,0.425,68,0.131,353,67.90%,65.40%
03M076,P.S. 076 A. Philip Randolph,2019-20,371,26,28,28,26,47,26,38,47,49,56,0,0,0,0,200,0.539,171,0.461,3,0.008,282,0.76,69,0.186,3,0.008,14,0.038,91,0.245,37,0.1,Above 95%,Above 95%,93.80%
03M084,P.S. 084 Lillian Weber,2019-20,687,108,108,107,93,83,92,96,0,0,0,0,0,0,0,371,0.54,316,0.46,26,0.038,54,0.079,213,0.31,40,0.058,354,0.515,113,0.164,39,0.057,235,34.20%,37.50%
03M087,P.S. 087 William Sherman,2019-20,873,18,144,139,139,142,159,132,0,0,0,0,0,0,0,465,0.533,408,0.467,63,0.072,23,0.026,134,0.153,79,0.09,574,0.658,145,0.166,26,0.03,70,8.00%,12.40%
03M145,"P.S. 145, The Bloomingdale School",2019-20,395,44,66,58,59,57,58,53,0,0,0,0,0,0,0,182,0.461,213,0.539,5,0.013,105,0.266,204,0.516,7,0.018,74,0.187,126,0.319,39,0.099,279,70.60%,77.40%
03M149,P.S. 149 Sojourner Truth,2019-20,216,14,24,15,14,18,26,22,25,31,27,0,0,0,0,111,0.514,105,0.486,14,0.065,115,0.532,73,0.338,6,0.028,8,0.037,54,0.25,27,0.125,Above 95%,Above 95%,92.40%
03M163,P.S. 163 Alfred E. Smith,2019-20,543,36,84,73,84,81,93,92,0,0,0,0,0,0,0,273,0.503,270,0.497,39,0.072,94,0.173,230,0.424,32,0.059,148,0.273,110,0.203,43,0.079,257,47.30%,51.80%
03M165,P.S. 165 Robert E. Simon,2019-20,432,35,84,58,56,62,65,72,0,0,0,0,0,0,0,217,0.502,215,0.498,27,0.063,64,0.148,232,0.537,8,0.019,101,0.234,83,0.192,37,0.086,269,62.30%,64.00%
03M166,P.S. 166 The Richard Rodgers School of The Arts an,2019-20,665,0,118,124,118,119,111,75,0,0,0,0,0,0,0,329,0.495,336,0.505,95,0.143,27,0.041,100,0.15,67,0.101,376,0.565,70,0.105,14,0.021,83,12.50%,16.10%
03M180,P.S. 180 Hugo Newman,2019-20,513,78,68,46,40,48,42,46,43,53,49,0,0,0,0,235,0.458,278,0.542,15,0.029,246,0.48,156,0.304,23,0.045,73,0.142,102,0.199,51,0.099,348,67.80%,70.20%
03M185,The Locke School of Arts and Engineering,2019-20,347,43,68,49,51,52,54,30,0,0,0,0,0,0,0,160,0.461,187,0.539,5,0.014,182,0.524,115,0.331,10,0.029,35,0.101,87,0.251,11,0.032,270,77.80%,80.10%
